id,date,split,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,circumplex.arousal_was_missing_originally,circumplex.valence_was_missing_originally,target_next_obs_mood,target_class
AS14.01,2014-04-14,train,-0.5435985509163045,0.11842489773718892,2.469859359042696,3.5523935106860356,14.042000000000002,,,-0.037122537455392075,-0.21878325228293008,29.104,,825.8809999999999,,-0.7732069644184714,-1.100595802525209,-0.3111973218209773,0.16065986499059257,0.7180918135716751,1.0,0.1665642601029784,0.1665642601029784,6.4,6
AS14.01,2014-04-15,train,-0.4841805807743823,0.3706309495483079,1.895648136187027,0.3546649441149531,7.026999999999999,,,-0.17331561574884108,0.8128693369360045,8.363,,236.533,,1.380132861220067,0.030310035533556746,-0.04520701089362421,-0.8642894769822017,0.6909003571925932,1.0,0.1665642601029784,0.1665642601029784,7.2,7
AS14.01,2014-04-16,train,-0.2360200335148482,0.12519553000057476,1.435545118552488,-0.28911383603400426,,,,-0.4467581414733341,0.7211424906853575,,,223.58700000000002,,1.380132861220067,1.1419485926722284,-0.678577263739892,0.16065986499059257,0.9570921546861961,1.0,0.1665642601029784,0.1665642601029784,6.625,7
AS14.01,2014-04-17,train,-0.801030207475468,-0.17849664864806233,1.823753154467554,-0.6315770977342735,,,,-0.3957893123400717,0.4003156895847764,,,49.718,,-0.4655869893272516,0.10279645175428531,-0.024428336624441115,-0.5760224745523538,1.4930514463318574,,0.1665642601029784,0.1665642601029784,6.8,7
AS14.01,2014-04-18,train,-0.4467548406708909,-0.030270933196864254,1.378331775386876,-0.26399843454439725,25.37,,,-0.4192493466448802,1.1360118286099088,63.873999999999995,,88.68,,-0.7732069644184714,-0.5222162047355536,0.528231962703785,-0.35181480599580517,0.5734408161951902,,0.1665642601029784,0.1665642601029784,7.8,8
AS14.01,2014-04-19,train,-0.3952206542735608,-0.03935458210141018,0.3038199391693295,-0.6691986283023807,29.352,29.084,,-0.48328730771091843,-0.5103114884529019,128.89,,232.391,,-0.7732069644184714,0.0528269422148782,0.6477388109318344,0.9293718714701881,0.07011175591391557,,0.1665642601029784,0.1665642601029784,7.25,7
AS14.01,2014-04-20,train,-0.6301846796278362,-0.1338550639823171,0.8597312715011017,-0.017332766231269513,4.45,,,-0.47260580565047666,0.1157604393086028,,,121.035,,-0.4655869893272516,-0.35868386507882033,0.2756433402522909,0.224719198863892,0.28862114292665864,2.0,0.1665642601029784,0.1665642601029784,7.6,8
AS14.01,2014-04-21,train,-0.3703155522737145,-0.060769069328160265,-0.21792109502133689,-0.7401370669168589,19.057000000000002,,,-0.3789580925492433,-0.5023962631986959,11.065,,123.28500000000001,,-0.4655869893272516,-0.14491731964298565,0.6477388109318344,0.6731345359769891,-0.5416759211854036,,0.1665642601029784,0.1665642601029784,7.4,7
AS14.01,2014-04-22,train,-0.46683295556784377,0.4593252628883871,3.8981262171824604,0.315217454236802,14.152999999999999,,,-0.3588870789349352,0.4077976298525681,,,250.53400000000002,,-0.4655869893272516,0.418252409398208,0.6477388109318344,0.4168972004837914,1.6984718760826318,,0.1665642601029784,0.1665642601029784,7.6,8
AS14.01,2014-04-23,train,-0.9053810631832837,0.22946423616698905,2.8129094985183856,-0.48065745114198416,10.030999999999999,,,-0.4404199266477632,-0.3409229729388159,,,235.903,,-0.7732069644184714,0.6855186291692466,0.6477388109318344,0.6731345359769891,0.9900329791927172,,0.1665642601029784,0.1665642601029784,7.6,8
